step	time	CMx	CMy	CMz	quat_0	quat_1	quat_2	quat_3	vel_x	vel_y	vel_z	angvel_x	angvel_y	angvel_z	volume	J0	J1	J2	J3	J4	J5
48	9.5061967e-03	6.4999999e-01	4.9999613e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.2036576e-04	-4.9360197e-06	-3.9157570e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.6204763e-02	9.2691237e-05	8.8223973e-09	3.1442847e-07	3.0886092e-07	-9.0480452e-11	-2.5623059e-12	2.2804832e-13
49	9.9098680e-03	6.4999999e-01	4.9999597e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.2579758e-04	-5.5723488e-06	-3.9055484e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.6363974e-02	9.2696413e-05	8.8227082e-09	3.1451543e-07	3.0894779e-07	-9.4297865e-11	-1.9086327e-12	1.1879023e-13
50	1.0321932e-02	6.4999999e-01	4.9999581e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.3137338e-04	-6.1579936e-06	-3.8932357e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.6522651e-02	9.2705400e-05	8.8236411e-09	3.1461317e-07	3.0904509e-07	-9.8309308e-11	-1.2917866e-12	1.5841503e-13
51	1.0742388e-02	6.4999998e-01	4.9999564e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.3709783e-04	-6.8756441e-06	-3.8846879e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.6696871e-02	9.2705519e-05	8.8230001e-09	3.1468615e-07	3.0911848e-07	-1.0222177e-10	-1.0143000e-12	1.1754420e-13
52	1.1171236e-02	6.4999998e-01	4.9999547e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.4297370e-04	-7.7325267e-06	-3.8693287e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.6877038e-02	9.2707917e-05	8.8229856e-09	3.1474628e-07	3.0917868e-07	-1.0488626e-10	-5.1707516e-13	1.8433031e-13
53	1.1608476e-02	6.4999998e-01	4.9999530e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.4900420e-04	-8.5214658e-06	-3.8550564e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.7064871e-02	9.2712058e-05	8.8232588e-09	3.1482620e-07	3.0925865e-07	-1.0968520e-10	-4.5017926e-13	1.7612686e-13
54	1.2054109e-02	6.4999997e-01	4.9999512e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.5519023e-04	-9.3960662e-06	-3.8502315e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.7249704e-02	9.2716665e-05	8.8236249e-09	3.1490940e-07	3.0934175e-07	-1.1445980e-10	7.2355147e-13	1.3881824e-13
55	1.2508135e-02	6.4999997e-01	4.9999495e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.6153366e-04	-1.0365332e-05	-3.8358414e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.7435936e-02	9.2724313e-05	8.8245985e-09	3.1499232e-07	3.0942422e-07	-1.1888561e-10	-1.9527919e-13	7.5777255e-14
56	1.2970552e-02	6.4999996e-01	4.9999477e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.6803955e-04	-1.1395869e-05	-3.8273267e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.7637017e-02	9.2727404e-05	8.8246124e-09	3.1505663e-07	3.0948877e-07	-1.2370392e-10	-3.8317762e-13	2.2156954e-14
57	1.3441362e-02	6.4999995e-01	4.9999458e-01	5.0000000e-01	9.9999998e-01	0.0000000e+00	0.0000000e+00	1.7470854e-04	-1.2460668e-05	-3.8186132e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.7833728e-02	9.2731123e-05	8.8250374e-09	3.1512337e-07	3.0955525e-07	-1.2730831e-10	-2.3585177e-13	-1.6602045e-14
58	1.3920564e-02	6.4999995e-01	4.9999440e-01	5.0000000e-01	9.9999998e-01	0.0000000e+00	0.0000000e+00	1.8154314e-04	-1.3570291e-05	-3.8079386e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.8033967e-02	9.2735244e-05	8.8256777e-09	3.1518183e-07	3.0961330e-07	-1.3168762e-10	-4.6350581e-13	-6.2169558e-14
59	1.4408159e-02	6.4999994e-01	4.9999421e-01	5.0000000e-01	9.9999998e-01	0.0000000e+00	0.0000000e+00	1.8854755e-04	-1.4679862e-05	-3.7948268e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.8244299e-02	9.2735107e-05	8.8257477e-09	3.1520840e-07	3.0963990e-07	-1.3569247e-10	-1.1357240e-13	-8.5231198e-14
60	1.4904146e-02	6.4999993e-01	4.9999402e-01	5.0000000e-01	9.9999998e-01	0.0000000e+00	0.0000000e+00	1.9571926e-04	-1.5829155e-05	-3.7887358e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.8437780e-02	9.2733492e-05	8.8253587e-09	3.1522099e-07	3.0965297e-07	-1.4073267e-10	-4.8958080e-13	5.6016996e-14
61	1.5408525e-02	6.4999992e-01	4.9999383e-01	5.0000000e-01	9.9999998e-01	0.0000000e+00	0.0000000e+00	2.0306587e-04	-1.7016527e-05	-3.7855874e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.8654515e-02	9.2736124e-05	8.8255696e-09	3.1526418e-07	3.0969631e-07	-1.4714803e-10	-6.9995265e-13	9.3653186e-15
62	1.5921297e-02	6.4999991e-01	4.9999363e-01	5.0000000e-01	9.9999998e-01	0.0000000e+00	0.0000000e+00	2.1058781e-04	-1.8346891e-05	-3.7876370e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.8865937e-02	9.2734178e-05	8.8252974e-09	3.1525834e-07	3.0969089e-07	-1.5137092e-10	-4.0908847e-13	8.9059212e-14
63	1.6442461e-02	6.4999990e-01	4.9999343e-01	5.0000000e-01	9.9999998e-01	0.0000000e+00	0.0000000e+00	2.1828357e-04	-1.9660284e-05	-3.7874693e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.9064914e-02	9.2734895e-05	8.8254039e-09	3.1526039e-07	3.0969323e-07	-1.5633459e-10	-5.5064401e-13	3.9825477e-14
64	1.6972017e-02	6.4999989e-01	4.9999322e-01	5.0000000e-01	9.9999997e-01	0.0000000e+00	0.0000000e+00	2.2615599e-04	-2.1142809e-05	-3.7909461e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.9268310e-02	9.2729348e-05	8.8252025e-09	3.1521413e-07	3.0964732e-07	-1.6128240e-10	5.4536239e-13	6.4701743e-14
65	1.7509966e-02	6.4999988e-01	4.9999302e-01	5.0000000e-01	9.9999997e-01	0.0000000e+00	0.0000000e+00	2.3421252e-04	-2.2659309e-05	-3.7956120e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.9492668e-02	9.2730583e-05	8.8260040e-09	3.1519688e-07	3.0963003e-07	-1.6729772e-10	4.6067782e-13	7.9034423e-14
66	1.8056307e-02	6.4999987e-01	4.9999281e-01	5.0000000e-01	9.9999997e-01	0.0000000e+00	0.0000000e+00	2.4245256e-04	-2.4274642e-05	-3.7967653e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.9708121e-02	9.2728627e-05	8.8261770e-09	3.1514913e-07	3.0958266e-07	-1.7254579e-10	-2.3875919e-13	1.3660740e-15
67	1.8611040e-02	6.4999985e-01	4.9999259e-01	5.0000000e-01	9.9999997e-01	0.0000000e+00	0.0000000e+00	2.5088011e-04	-2.5874384e-05	-3.8003533e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.9931336e-02	9.2721949e-05	8.8255690e-09	3.1508500e-07	3.0951926e-07	-1.7834448e-10	1.2472002e-14	2.0029617e-15
68	1.9174165e-02	6.4999984e-01	4.9999237e-01	5.0000000e-01	9.9999997e-01	0.0000000e+00	0.0000000e+00	2.5949340e-04	-2.7749672e-05	-3.8025767e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	3.0141801e-02	9.2716956e-05	8.8259812e-09	3.1500778e-07	3.0944192e-07	-1.8256838e-10	8.9236942e-14	2.6482101e-14
69	1.9745683e-02	6.4999982e-01	4.9999215e-01	5.0000000e-01	9.9999996e-01	0.0000000e+00	0.0000000e+00	2.6830131e-04	-2.9518979e-05	-3.8005475e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	3.0376817e-02	9.2722655e-05	8.8276869e-09	3.1496862e-07	3.0940228e-07	-1.8827799e-10	7.3325703e-13	8.6211415e-14
