step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
70	6.4707206e-04	3.1146248e-04	7.2629970e-03	-3.4354549e-08	1.8889748e-18	1.3719308e-21	3.3321485e-19	3.6418278e-09
71	6.6619710e-04	3.1146248e-04	7.1859316e-03	-3.4042857e-08	4.4229392e-20	2.3232103e-21	-2.1222223e-19	3.6197795e-09
72	6.8560257e-04	3.1146248e-04	7.1126718e-03	-3.3759540e-08	1.9504176e-18	-1.1824085e-21	5.2355121e-20	3.5940771e-09
73	7.0527005e-04	3.1146248e-04	7.0366732e-03	-3.3490942e-08	-6.5825078e-19	-5.1836050e-21	-2.2719194e-21	3.5514828e-09
74	7.2520084e-04	3.1146248e-04	6.9606515e-03	-3.3175031e-08	-1.0148380e-18	4.7633348e-21	-1.1975283e-19	3.5074728e-09
75	7.4539637e-04	3.1146248e-04	6.8854910e-03	-3.2945417e-08	-9.7212907e-20	-2.4435953e-21	3.0918299e-19	3.4678467e-09
76	7.6585819e-04	3.1146248e-04	6.8114531e-03	-3.2764534e-08	1.4657793e-18	-3.1533605e-21	1.0886280e-20	3.4322886e-09
77	7.8658795e-04	3.1146248e-04	6.7386145e-03	-3.2645006e-08	-1.9718241e-18	-7.1580499e-22	5.7658080e-19	3.4013326e-09
78	8.0758743e-04	3.1146248e-04	6.6669954e-03	-3.2581663e-08	5.9776724e-20	-7.2890748e-22	1.1319207e-19	3.3763229e-09
79	8.2885846e-04	3.1146248e-04	6.5965969e-03	-3.2625444e-08	-4.0611822e-19	-1.3686737e-21	1.7398485e-19	3.3555070e-09
80	8.5040299e-04	3.1146248e-04	6.5274125e-03	-3.2737900e-08	2.0800684e-19	1.3657425e-21	1.3333485e-19	3.3382246e-09
81	8.7222301e-04	3.1146248e-04	6.4594320e-03	-3.2879209e-08	-2.0365990e-18	-1.2833222e-21	2.6328233e-22	3.3234023e-09
82	8.9432057e-04	3.1146248e-04	6.3926429e-03	-3.3018818e-08	2.8959399e-18	1.6688522e-21	2.2196653e-19	3.3082027e-09
83	9.1669780e-04	3.1146248e-04	6.3270312e-03	-3.3137474e-08	5.0547682e-19	-9.9938046e-22	-8.1536663e-21	3.2956011e-09
84	9.3935683e-04	3.1146248e-04	6.2625816e-03	-3.3254206e-08	-2.2241586e-18	-2.5178530e-22	1.0443256e-19	3.2844231e-09
85	9.6229983e-04	3.1146248e-04	6.1992783e-03	-3.3368041e-08	5.1865396e-19	9.2467216e-22	4.0051415e-19	3.2729118e-09
86	9.8552898e-04	3.1146248e-04	6.1371047e-03	-3.3421697e-08	-2.5866438e-18	-1.9930871e-21	-1.2165109e-19	3.2630465e-09
87	1.0090465e-03	3.1146248e-04	6.0760440e-03	-3.3414471e-08	1.4516429e-18	8.8184788e-22	1.2352931e-19	3.2533293e-09
